Name,Code,N,E,Z
p1,,63446.537,644795.168,747.007
p2,4,62873.207,644554.101,632.810
p3,4,62869.386,644557.577,632.744
p4,4,62867.877,644556.390,633.066
p5,4,62863.256,644556.880,632.786
p6,4,62867.671,644558.129,634.147
p7,4,62867.625,644563.445,633.563
p8,12,62867.783,644563.593,633.500
p9,12,62865.820,644562.472,634.112
p10,12,62865.949,644558.958,634.598
p11,4,62866.054,644559.147,634.572
p12,4,62872.049,644568.940,635.002
p13,4,62867.938,644565.103,635.709
p14,4,62864.092,644564.213,636.470
p15,4,62862.914,644562.813,636.381
p16,4,62863.918,644560.381,636.174
p17,4,62861.242,644557.803,636.488
p18,4,62859.301,644556.464,636.616
p19,4,62858.036,644554.043,636.805
p20,4,62856.270,644551.370,636.874
p21,4,62856.908,644547.119,637.207
p22,4,62856.407,644542.103,637.212
p23,4,62857.709,644540.118,637.254
p24,4,62859.864,644538.144,637.000
p25,4,62860.498,644535.621,637.115
p26,4,62858.701,644534.833,637.027
p27,4,62855.891,644535.756,637.215
p28,4,62851.959,644532.836,637.348
p29,4,62850.693,644529.447,637.226
p30,4,62848.302,644527.082,637.040
p31,4,62847.946,644524.911,636.786
p32,4,62844.047,644521.102,637.004
p33,4,62842.387,644520.133,636.683
p34,4,62842.350,644518.274,636.761
p35,12,62842.256,644518.254,636.743
p36,12,62840.692,644522.781,636.906
p37,12,62856.461,644527.018,633.564
p38,12,62852.354,644526.425,633.764
p39,12,62849.918,644523.098,633.905
p40,4,62850.550,644523.235,633.959
p41,4,62853.314,644522.727,633.000
p42,4,62857.574,644518.732,632.747
p43,4,62857.562,644518.976,632.824
p44,4,62865.182,644524.731,633.109
p45,12,62861.240,644530.921,633.067
p46,12,62863.183,644535.094,632.627
p47,4,62867.012,644533.160,632.826
p48,4,62867.821,644538.796,631.978
p49,12,62862.682,644540.061,632.710
p50,12,62858.626,644542.507,632.954
p51,12,62861.007,644546.374,633.282
p52,4,62868.942,644546.512,632.611
p53,4,62872.484,644552.682,632.869
p54,12,62862.180,644552.668,633.243
p55,12,62875.737,644564.735,630.417
p56,12,62871.686,644562.649,630.431
p57,12,62871.015,644561.592,630.422
p58,12,62875.031,644558.978,630.066
p59,12,62877.043,644556.668,630.261
p60,12,62875.207,644550.250,630.343
p61,12,62873.471,644543.730,630.483
p62,12,62870.606,644539.722,630.178
p63,12,62871.236,644532.546,629.950
p64,12,62871.079,644528.022,630.298
p65,12,62871.727,644524.032,630.134
p66,12,62892.909,644534.034,630.175
p67,12,62888.649,644539.829,630.178
p68,12,62885.677,644547.202,630.214
p69,12,62883.437,644552.836,630.212
p70,12,62881.540,644557.364,630.316
p71,12,62879.035,644561.041,630.353
p72,4,62875.562,644567.873,632.580
p73,4,62877.011,644566.903,631.466
p74,4,62877.629,644566.813,631.270
p75,4,62880.197,644562.045,630.694
p76,4,62880.524,644561.028,630.942
p77,4,62883.801,644554.995,631.236
p78,4,62884.602,644554.366,630.818
p79,4,62886.857,644549.922,631.420
p80,4,62886.873,644549.451,631.454
p81,4,62887.514,644546.583,631.430
p82,4,62888.455,644546.504,631.334
p83,4,62890.768,644540.961,631.329
p84,4,62890.574,644540.286,631.185
p85,4,62892.644,644537.701,631.332
p86,4,62893.084,644537.389,630.967
p87,4,62895.639,644534.443,630.922
p88,4,62895.123,644533.578,630.629
p89,12,62974.771,644436.698,636.053
p90,1,62977.331,644436.078,636.111
p91,1,62981.425,644432.542,635.650
p92,1,62983.690,644428.008,635.451
p93,1,62981.753,644424.495,634.956
p94,1,62978.638,644426.797,634.617
p95,1,62974.634,644431.098,634.460
p96,12,62973.482,644432.544,634.853
p97,12,62970.008,644430.058,633.548
p98,1,62971.460,644429.112,633.544
p99,1,62973.816,644425.243,633.603
p100,1,62977.586,644420.767,633.933
p101,1,62980.169,644421.060,634.337
p102,12,62982.711,644422.410,634.812
p103,12,62980.570,644419.871,634.034
p104,12,62975.831,644416.978,633.209
p105,1,62974.950,644418.461,632.985
p106,1,62973.237,644422.014,633.101
p107,1,62970.189,644427.510,633.058
