Name,Code,E,N,Z
p2,1,644807.703,63197.909,750.923
p3,1,644804.866,63195.593,750.983
p4,1,644800.481,63192.171,750.796
p5,1,644795.555,63188.749,750.480
p6,1,644797.960,63185.422,750.445
p7,1,644802.249,63188.468,750.517
p8,1,644805.964,63193.584,750.932
p9,1,644809.306,63197.109,750.936
p10,1,644814.069,63195.539,750.924
p11,1,644810.926,63191.237,750.918
p12,1,644808.476,63188.270,750.976
p13,1,644804.952,63184.329,750.650
p14,1,644801.578,63179.838,750.504
p15,1,644797.224,63175.227,750.559
p16,1,644800.002,63169.689,750.862
p17,1,644803.902,63172.924,750.507
p18,1,644809.431,63178.191,750.513
p19,1,644813.942,63182.741,750.880
p20,1,644816.672,63186.597,750.709
p21,1,644818.955,63189.097,750.868
p22,1,644823.778,63187.282,750.669
p23,1,644822.769,63184.617,750.727
p24,1,644820.443,63180.667,750.637
p25,1,644817.774,63174.217,750.708
p26,1,644814.627,63169.425,750.678
p27,1,644810.967,63164.647,750.701
p28,1,644808.056,63165.118,750.880
p29,1,644805.648,63161.414,751.060
p30,1,644803.167,63164.523,750.874
p31,1,644806.081,63168.568,750.926
p32,1,644810.348,63174.143,750.587
p33,1,644814.283,63178.896,750.461
p34,1,644818.264,63165.835,750.727
p35,1,644820.432,63169.493,750.904
p36,1,644822.809,63175.762,750.498
p37,1,644825.116,63180.177,750.558
p38,1,644826.741,63183.244,750.500
p39,1,644831.914,63181.517,750.579
p40,1,644829.815,63177.246,750.397
p41,1,644827.093,63172.137,750.715
p42,1,644824.360,63165.680,750.906
p43,1,644830.332,63162.666,750.638
p44,1,644833.098,63167.028,750.477
p45,1,644835.739,63170.923,750.378
p46,1,644838.235,63175.773,750.442
p47,1,644841.164,63178.958,750.429
p48,1,644845.979,63178.554,750.233
p49,1,644843.469,63173.729,750.350
p50,1,644840.284,63168.588,750.568
p51,1,644838.557,63164.416,750.591
p52,1,644835.941,63160.620,750.523
p53,1,644833.038,63155.528,750.668
p54,1,644834.897,63151.426,750.947
p55,1,644837.471,63155.860,750.628
p56,1,644841.169,63162.316,750.536
p57,1,644843.864,63166.878,750.275
p58,1,644845.485,63171.090,750.319
p59,1,644847.916,63174.445,750.226
p60,1,644853.238,63175.601,750.076
p61,1,644851.876,63170.982,750.286
p62,1,644846.892,63166.963,750.217
p63,1,644845.943,63162.297,750.290
p64,1,644845.002,63157.065,750.594
p65,1,644842.834,63153.510,750.710
p66,1,644847.991,63151.861,750.687
p67,1,644849.453,63156.572,750.431
p68,1,644850.550,63162.367,750.197
p69,1,644852.975,63166.976,750.180
p70,1,644859.016,63173.296,750.261
p71,1,644857.969,63167.808,750.213
p72,1,644856.003,63163.503,750.380
p73,1,644854.731,63158.421,750.384
p74,1,644854.521,63152.291,750.523
p75,1,644859.406,63151.038,750.652
p76,1,644860.287,63155.390,750.406
p77,1,644862.756,63160.620,750.130
p78,1,644863.967,63166.032,750.324
p79,1,644864.718,63170.099,750.522
p80,1,644866.066,63173.676,750.288
p81,1,644866.960,63177.862,750.263
p82,1,644867.655,63181.766,750.453
p83,12,644868.713,63187.083,750.778
p84,12,644873.785,63186.051,751.157
p85,12,644877.656,63183.207,751.470
p86,12,644876.720,63178.819,750.992
p87,12,644875.627,63174.960,750.712
p88,12,644876.853,63170.720,750.493
p89,12,644874.351,63167.705,750.403
p90,12,644872.071,63163.171,750.516
p91,12,644872.024,63157.513,750.471
p92,12,644874.439,63153.554,750.236
p93,12,644877.652,63151.204,749.976
p94,12,644880.830,63149.452,749.897
p95,12,644880.211,63148.090,749.996
p96,4,644880.571,63147.184,750.644
p97,4,644881.164,63145.956,750.915
p98,4,644883.325,63148.462,751.510
p99,4,644883.070,63150.851,752.558
p100,4,644881.041,63154.236,753.405
p101,4,644876.976,63157.703,753.578
p102,4,644877.542,63162.064,753.533
p103,4,644881.286,63164.616,754.354
p104,4,644882.686,63167.805,754.363
p105,4,644883.330,63169.837,754.279
p106,12,644883.885,63169.894,754.271
p107,12,644885.348,63168.808,753.841
p108,12,644888.663,63167.433,754.128
p109,12,644890.171,63164.262,754.052
p110,12,644887.945,63163.298,754.585
p111,12,644880.793,63163.689,753.332
p112,12,644883.264,63160.454,753.388
p113,12,644887.500,63158.899,753.604
p114,12,644888.584,63155.804,752.829
p115,12,644887.707,63152.358,752.758
p116,4,644887.909,63151.940,753.192
p117,4,644889.651,63154.439,754.898
p118,4,644890.851,63158.210,755.861
p119,4,644887.596,63160.895,755.603
p120,4,644887.912,63161.968,755.668
