Name,Code,N,E,Z
p1,,62909.070,646076.682,644.914
p2,12,63234.683,646125.311,654.213
p3,12,63234.833,646122.362,654.243
p4,12,63234.055,646118.695,654.597
p5,12,63234.615,646115.285,654.806
p6,12,63234.227,646111.696,655.472
p7,12,63234.805,646108.399,656.128
p8,12,63235.868,646104.795,656.838
p9,12,63237.380,646101.267,656.978
p10,12,63237.869,646098.071,657.357
p11,12,63239.311,646095.345,657.675
p12,12,63243.413,646094.489,657.724
p13,12,63245.586,646095.208,657.751
p14,12,63248.741,646096.317,657.443
p15,12,63250.792,646096.629,657.253
p16,12,63252.739,646096.687,657.225
p17,12,63256.809,646096.594,656.876
p18,12,63260.228,646097.432,656.864
p19,12,63263.157,646098.503,656.723
p20,12,63265.983,646099.545,656.178
p21,12,63269.158,646100.297,656.149
p22,12,63272.611,646101.445,655.897
p23,12,63275.063,646102.290,655.673
p24,4,63269.937,646108.415,661.192
p25,4,63266.291,646107.549,661.340
p26,4,63262.726,646106.356,661.511
p27,4,63259.055,646104.740,661.604
p28,4,63255.073,646103.766,661.742
p29,4,63251.758,646102.441,661.503
p30,4,63248.147,646101.786,661.162
p31,4,63245.565,646101.233,660.898
p32,4,63242.731,646102.434,660.865
p33,4,63243.567,646105.931,661.431
p34,4,63243.613,646109.587,661.423
p35,4,63242.905,646112.789,661.145
p36,4,63242.824,646115.858,660.737
p37,4,63243.609,646119.482,660.424
p38,4,63243.278,646122.273,660.119
p39,4,63244.687,646120.533,660.380
p40,4,63248.241,646121.652,660.373
p41,4,63251.710,646122.661,660.037
p42,4,63255.668,646124.048,659.837
p43,4,63257.799,646120.833,660.144
p44,4,63254.230,646120.593,660.305
p45,4,63250.582,646119.792,660.260
p46,4,63247.984,646119.211,660.583
p47,4,63244.648,646118.919,660.625
p48,4,63244.672,646115.150,661.002
p49,4,63247.468,646115.922,661.023
p50,4,63251.032,646116.601,660.894
p51,4,63254.924,646117.756,660.701
p52,4,63258.134,646118.681,660.498
p53,4,63262.131,646119.862,660.379
p54,4,63263.758,646116.800,660.716
p55,4,63259.895,646116.083,660.800
p56,4,63255.789,646115.310,660.817
p57,4,63252.106,646114.715,661.016
p58,4,63247.511,646113.310,661.232
p59,4,63244.750,646112.500,661.278
p60,4,63245.389,646108.395,661.584
p61,4,63249.442,646109.981,661.422
p62,4,63252.575,646111.187,661.269
p63,4,63255.611,646112.599,661.212
p64,4,63259.295,646113.821,661.080
p65,4,63262.838,646114.712,660.886
p66,4,63266.305,646115.219,660.857
p67,4,63268.423,646112.791,661.178
p68,4,63265.132,646111.831,661.279
p69,4,63261.582,646110.972,661.228
p70,4,63258.112,646109.775,661.407
p71,4,63254.603,646108.856,661.484
p72,4,63251.275,646107.726,661.472
p73,4,63247.927,646106.858,661.639
p74,4,63245.154,646106.504,661.598
p75,4,63245.035,646103.246,661.109
p76,4,63248.534,646104.362,661.666
p77,4,63251.575,646104.146,661.718
p78,4,63254.708,646105.186,661.653
p79,4,63257.806,646105.911,661.675
p80,4,63261.064,646107.744,661.554
p81,4,63264.184,646108.906,661.347
p82,4,63267.139,646109.932,661.268
p83,4,63270.079,646111.663,661.202
p84,4,63274.216,646112.137,661.203
p85,4,63271.487,646113.657,661.093
p86,4,63268.363,646115.352,660.976
p87,4,63265.163,646118.980,660.626
p88,4,63262.924,646122.165,660.112
p89,4,63260.830,646125.431,659.646
p90,4,63257.829,646125.488,659.651
p91,4,63255.999,646127.222,659.506
p92,4,63253.323,646126.565,659.621
p93,4,63250.169,646125.973,659.746
p94,4,63247.281,646124.389,659.868
p95,4,63244.404,646124.120,659.976
